name	region	region_offset	size	view	bank	cpu_start
defend.1	maincpu	0x0000	0x0800	fixed	-	0xd000
defend.4	maincpu	0x0800	0x0800	fixed	-	0xd800
defend.2	maincpu	0x1000	0x1000	fixed	-	0xe000
defend.3	maincpu	0x2000	0x1000	fixed	-	0xf000
defend.9	banked	0x0000	0x0800	banked	1	0xc000
defend.12	banked	0x0800	0x0800	banked	1	0xc800
defend.8	banked	0x1000	0x0800	banked	2	0xc000
defend.11	banked	0x1800	0x0800	banked	2	0xc800
defend.7	banked	0x2000	0x0800	banked	3	0xc000
defend.10	banked	0x2800	0x0800	banked	3	0xc800
defend.6	banked	0x6000	0x0800	banked	7	0xc000
video_sound_rom_1.ic12	soundcpu	0xf800	0x0800	sound	-	0xf800
decoder.2	proms	0x0000	0x0200	prom	-	-
decoder.3	proms	0x0200	0x0200	prom	-	-
