label	table_address	priority	sequencer_tick	write_index	write_kind	table_pointer	repeat_index	repeat_count	timer	sound_number	port_b	command
CNSND	0xD4AB	0xFF	1	1	idle	0xD4AC	1	1	0x18	0x19	0x3F	0xFF
CNSND	0xD4AB	0xFF	1	2	command	0xD4AC	1	1	0x18	0x19	0x26	0xE6
RPSND	0xD4B0	0xFF	1	1	idle	0xD4B1	1	1	0x20	0x1E	0x3F	0xFF
RPSND	0xD4B0	0xFF	1	2	command	0xD4B1	1	1	0x20	0x1E	0x21	0xE1
PDSND	0xD4B5	0xF0	1	1	idle	0xD4B6	1	2	0x08	0x11	0x3F	0xFF
PDSND	0xD4B5	0xF0	1	2	command	0xD4B6	1	2	0x08	0x11	0x2E	0xEE
PDSND	0xD4B5	0xF0	9	1	idle	0xD4B6	2	2	0x08	0x11	0x3F	0xFF
PDSND	0xD4B5	0xF0	9	2	command	0xD4B6	2	2	0x08	0x11	0x2E	0xEE
PDSND	0xD4B5	0xF0	17	1	idle	0xD4B9	1	1	0x20	0x17	0x3F	0xFF
PDSND	0xD4B5	0xF0	17	2	command	0xD4B9	1	1	0x20	0x17	0x28	0xE8
ST1SND	0xD4BD	0xF0	1	1	idle	0xD4BE	1	1	0x40	0x0A	0x3F	0xFF
ST1SND	0xD4BD	0xF0	1	2	command	0xD4BE	1	1	0x40	0x0A	0x35	0xF5
ST2SND	0xD4C2	0xF0	1	1	idle	0xD4C3	1	1	0x10	0x0B	0x3F	0xFF
ST2SND	0xD4C2	0xF0	1	2	command	0xD4C3	1	1	0x10	0x0B	0x34	0xF4
TBSND	0xD4C7	0xE8	1	1	idle	0xD4C8	1	1	0x04	0x14	0x3F	0xFF
TBSND	0xD4C7	0xE8	1	2	command	0xD4C8	1	1	0x04	0x14	0x2B	0xEB
TBSND	0xD4C7	0xE8	5	1	idle	0xD4CB	1	2	0x06	0x11	0x3F	0xFF
TBSND	0xD4C7	0xE8	5	2	command	0xD4CB	1	2	0x06	0x11	0x2E	0xEE
TBSND	0xD4C7	0xE8	11	1	idle	0xD4CB	2	2	0x06	0x11	0x3F	0xFF
TBSND	0xD4C7	0xE8	11	2	command	0xD4CB	2	2	0x06	0x11	0x2E	0xEE
TBSND	0xD4C7	0xE8	17	1	idle	0xD4CE	1	2	0x0A	0x17	0x3F	0xFF
TBSND	0xD4C7	0xE8	17	2	command	0xD4CE	1	2	0x0A	0x17	0x28	0xE8
TBSND	0xD4C7	0xE8	27	1	idle	0xD4CE	2	2	0x0A	0x17	0x3F	0xFF
TBSND	0xD4C7	0xE8	27	2	command	0xD4CE	2	2	0x0A	0x17	0x28	0xE8
SBSND	0xD4D2	0xE8	1	1	idle	0xD4D3	1	6	0x04	0x11	0x3F	0xFF
SBSND	0xD4D2	0xE8	1	2	command	0xD4D3	1	6	0x04	0x11	0x2E	0xEE
SBSND	0xD4D2	0xE8	5	1	idle	0xD4D3	2	6	0x04	0x11	0x3F	0xFF
SBSND	0xD4D2	0xE8	5	2	command	0xD4D3	2	6	0x04	0x11	0x2E	0xEE
SBSND	0xD4D2	0xE8	9	1	idle	0xD4D3	3	6	0x04	0x11	0x3F	0xFF
SBSND	0xD4D2	0xE8	9	2	command	0xD4D3	3	6	0x04	0x11	0x2E	0xEE
SBSND	0xD4D2	0xE8	13	1	idle	0xD4D3	4	6	0x04	0x11	0x3F	0xFF
SBSND	0xD4D2	0xE8	13	2	command	0xD4D3	4	6	0x04	0x11	0x2E	0xEE
SBSND	0xD4D2	0xE8	17	1	idle	0xD4D3	5	6	0x04	0x11	0x3F	0xFF
SBSND	0xD4D2	0xE8	17	2	command	0xD4D3	5	6	0x04	0x11	0x2E	0xEE
SBSND	0xD4D2	0xE8	21	1	idle	0xD4D3	6	6	0x04	0x11	0x3F	0xFF
SBSND	0xD4D2	0xE8	21	2	command	0xD4D3	6	6	0x04	0x11	0x2E	0xEE
SBSND	0xD4D2	0xE8	25	1	idle	0xD4D6	1	1	0x10	0x17	0x3F	0xFF
SBSND	0xD4D2	0xE8	25	2	command	0xD4D6	1	1	0x10	0x17	0x28	0xE8
ACSND	0xD4DA	0xE0	1	1	idle	0xD4DB	1	3	0x0A	0x08	0x3F	0xFF
ACSND	0xD4DA	0xE0	1	2	command	0xD4DB	1	3	0x0A	0x08	0x37	0xF7
ACSND	0xD4DA	0xE0	11	1	idle	0xD4DB	2	3	0x0A	0x08	0x3F	0xFF
ACSND	0xD4DA	0xE0	11	2	command	0xD4DB	2	3	0x0A	0x08	0x37	0xF7
ACSND	0xD4DA	0xE0	21	1	idle	0xD4DB	3	3	0x0A	0x08	0x3F	0xFF
ACSND	0xD4DA	0xE0	21	2	command	0xD4DB	3	3	0x0A	0x08	0x37	0xF7
ALSND	0xD4DF	0xE0	1	1	idle	0xD4E0	1	1	0x18	0x1F	0x3F	0xFF
ALSND	0xD4DF	0xE0	1	2	command	0xD4E0	1	1	0x18	0x1F	0x20	0xE0
AHSND	0xD4E4	0xE0	1	1	idle	0xD4E5	1	1	0x18	0x11	0x3F	0xFF
AHSND	0xD4E4	0xE0	1	2	command	0xD4E5	1	1	0x18	0x11	0x2E	0xEE
ASCSND	0xD4E9	0xD8	1	1	idle	0xD4EA	1	1	0x10	0x1A	0x3F	0xFF
ASCSND	0xD4E9	0xD8	1	2	command	0xD4EA	1	1	0x10	0x1A	0x25	0xE5
APSND	0xD4EE	0xD0	1	1	idle	0xD4EF	1	1	0x30	0x15	0x3F	0xFF
APSND	0xD4EE	0xD0	1	2	command	0xD4EF	1	1	0x30	0x15	0x2A	0xEA
PRHSND	0xD4F3	0xD0	1	1	idle	0xD4F4	1	1	0x10	0x05	0x3F	0xFF
PRHSND	0xD4F3	0xD0	1	2	command	0xD4F4	1	1	0x10	0x05	0x3A	0xFA
SCHSND	0xD4F8	0xD0	1	1	idle	0xD4F9	1	1	0x08	0x17	0x3F	0xFF
SCHSND	0xD4F8	0xD0	1	2	command	0xD4F9	1	1	0x08	0x17	0x28	0xE8
UFHSND	0xD4FD	0xD0	1	1	idle	0xD4FE	1	1	0x08	0x07	0x3F	0xFF
UFHSND	0xD4FD	0xD0	1	2	command	0xD4FE	1	1	0x08	0x07	0x38	0xF8
TIHSND	0xD502	0xD0	1	1	idle	0xD503	1	1	0x0A	0x01	0x3F	0xFF
TIHSND	0xD502	0xD0	1	2	command	0xD503	1	1	0x0A	0x01	0x3E	0xFE
LHSND	0xD507	0xD0	1	1	idle	0xD508	1	1	0x0A	0x06	0x3F	0xFF
LHSND	0xD507	0xD0	1	2	command	0xD508	1	1	0x0A	0x06	0x39	0xF9
LPKSND	0xD50C	0xD0	1	1	idle	0xD50D	1	1	0x10	0x0B	0x3F	0xFF
LPKSND	0xD50C	0xD0	1	2	command	0xD50D	1	1	0x10	0x0B	0x34	0xF4
LSKSND	0xD511	0xC8	1	1	idle	0xD512	1	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	1	2	command	0xD512	1	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	2	1	idle	0xD512	2	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	2	2	command	0xD512	2	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	3	1	idle	0xD512	3	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	3	2	command	0xD512	3	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	4	1	idle	0xD512	4	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	4	2	command	0xD512	4	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	5	1	idle	0xD512	5	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	5	2	command	0xD512	5	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	6	1	idle	0xD512	6	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	6	2	command	0xD512	6	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	7	1	idle	0xD512	7	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	7	2	command	0xD512	7	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	8	1	idle	0xD512	8	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	8	2	command	0xD512	8	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	9	1	idle	0xD512	9	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	9	2	command	0xD512	9	10	0x01	0x0E	0x31	0xF1
LSKSND	0xD511	0xC8	10	1	idle	0xD512	10	10	0x01	0x0E	0x3F	0xFF
LSKSND	0xD511	0xC8	10	2	command	0xD512	10	10	0x01	0x0E	0x31	0xF1
SWHSND	0xD516	0xC0	1	1	idle	0xD517	1	1	0x08	0x07	0x3F	0xFF
SWHSND	0xD516	0xC0	1	2	command	0xD517	1	1	0x08	0x07	0x38	0xF8
LASSND	0xD51B	0xC0	1	1	idle	0xD51C	1	1	0x30	0x14	0x3F	0xFF
LASSND	0xD51B	0xC0	1	2	command	0xD51C	1	1	0x30	0x14	0x2B	0xEB
LGSND	0xD520	0xC0	1	1	idle	0xD521	1	1	0x20	0x18	0x3F	0xFF
LGSND	0xD520	0xC0	1	2	command	0xD521	1	1	0x20	0x18	0x27	0xE7
LSHSND	0xD525	0xC0	1	1	idle	0xD526	1	1	0x08	0x03	0x3F	0xFF
LSHSND	0xD525	0xC0	1	2	command	0xD526	1	1	0x08	0x03	0x3C	0xFC
SSHSND	0xD52A	0xC0	1	1	idle	0xD52B	1	1	0x30	0x09	0x3F	0xFF
SSHSND	0xD52A	0xC0	1	2	command	0xD52B	1	1	0x30	0x09	0x36	0xF6
USHSND	0xD52F	0xC0	1	1	idle	0xD530	1	1	0x08	0x03	0x3F	0xFF
USHSND	0xD52F	0xC0	1	2	command	0xD530	1	1	0x08	0x03	0x3C	0xFC
SWSSND	0xD534	0xC0	1	1	idle	0xD535	1	1	0x18	0x0C	0x3F	0xFF
SWSSND	0xD534	0xC0	1	2	command	0xD535	1	1	0x18	0x0C	0x33	0xF3
